species,locality,municipality,kingdom,phylum,class,order,family,taxonRank,elevation
Dasyloricaria filamentosa,El Aguila,Cimitarra,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,SPECIES,122
Deltochilum guildingii,El Aguila,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,182
Deltochilum longiceps,El Aguila,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,199
Deltochilum molanoi,El Aguila,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,187
Dendrobates truncatus,El Aguila,Cimitarra,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,SPECIES,138
Dendropanax arboreus,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,SPECIES,158
Dendropsophus microcephalus,El Aguila,Cimitarra,Animalia,Chordata,Amphibia,Anura,Hylidae,SPECIES,127
Dichapetalum rugosum,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Dichapetalaceae,SPECIES,158
Dichotomius andresi,El Aguila,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,181
Dieffenbachia parlatorei,El Aguila,Cimitarra,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,SPECIES,159
Dioscorea marginata,El Aguila,Cimitarra,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Dioscoreaceae,SPECIES,158
Duguetia vallicola,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,SPECIES,159
Engystomops pustulosus,El Aguila,Cimitarra,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,SPECIES,141
Ephedranthus columbianus,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,SPECIES,159
Erythrolamprus melanotus,El Aguila,Cimitarra,Animalia,Chordata,Reptilia,Squamata,Dipsadidae,SPECIES,124
Eschweilera coriacea,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Ericales,Lecythidaceae,SPECIES,158
Eurysternus foedus,El Aguila,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,182
Eurysternus mexicanus,El Aguila,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,175
Eurysternus plebejus,El Aguila,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,184
Euterpe oleracea,El Aguila,Cimitarra,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,SPECIES,159
Faramea capillipes,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,SPECIES,158
Faramea occidentalis,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,SPECIES,159
Ficus obtusifolia,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,SPECIES,159
Floscopa peruviana,El Aguila,Cimitarra,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,SPECIES,158
Fridericia patellifera,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,SPECIES,158
Gasteropelecus maculatus,El Aguila,Cimitarra,Animalia,Chordata,Actinopterygii,Characiformes,Gasteropelecidae,SPECIES,122
Geonoma congesta,El Aguila,Cimitarra,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,SPECIES,158
Geophagus steindachneri,El Aguila,Cimitarra,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,SPECIES,129
Gephyrocharax melanocheir,El Aguila,Cimitarra,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,SPECIES,122
Gloxiniopsis racemosa,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,SPECIES,158
Goeppertia inocephala,El Aguila,Cimitarra,Plantae,Tracheophyta,Liliopsida,Zingiberales,Marantaceae,SPECIES,158
Gonzalagunia cornifolia,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,SPECIES,158
Guatteria lawrancei,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,SPECIES,158
Guatteria stipitata,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,SPECIES,159
Gurania lobata,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,SPECIES,158
Gustavia gentryi,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Ericales,Lecythidaceae,SPECIES,158
Gustavia longifuniculata,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Ericales,Lecythidaceae,SPECIES,158
Guzmania lingulata,El Aguila,Cimitarra,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,SPECIES,158
Heisteria macrophylla,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Santalales,Erythropalaceae,SPECIES,159
Helianthostylis sprucei,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,SPECIES,158
Heliconia velutina,El Aguila,Cimitarra,Plantae,Tracheophyta,Liliopsida,Zingiberales,Heliconiaceae,SPECIES,158
Herrania albiflora,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,SPECIES,159
Holcosus festivus,El Aguila,Cimitarra,Animalia,Chordata,Reptilia,Squamata,Teiidae,SPECIES,151
Hoplias malabaricus,El Aguila,Cimitarra,Animalia,Chordata,Actinopterygii,Characiformes,Erythrinidae,SPECIES,136
Hyeronima alchorneoides,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Phyllanthaceae,SPECIES,158
Hyospathe elegans,El Aguila,Cimitarra,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,SPECIES,158
Hyphessobrycon natagaima,El Aguila,Cimitarra,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,SPECIES,109
Hypostomus hondae,El Aguila,Cimitarra,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,SPECIES,122
Imantodes cenchoa,El Aguila,Cimitarra,Animalia,Chordata,Reptilia,Squamata,Dipsadidae,SPECIES,142
Imparfinis usmai,El Aguila,Cimitarra,Animalia,Chordata,Actinopterygii,Siluriformes,Heptapteridae,SPECIES,129
Inga cocleensis,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,SPECIES,159
Inga heterophylla,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,SPECIES,158
Inga thibaudiana,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,SPECIES,158
Inga umbellifera,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,SPECIES,158
Iryanthera ulei,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Myristicaceae,SPECIES,158
Isidodendron tripterocarpum,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Trigoniaceae,SPECIES,158
Lacmellea edulis,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,SPECIES,158
Lacunaria jenmanii,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Quiinaceae,SPECIES,158
Leonia triandra,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,SPECIES,158
Leptodactylus fragilis,El Aguila,Cimitarra,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,SPECIES,149
Leptodactylus fuscus,El Aguila,Cimitarra,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,SPECIES,146
Leptodactylus insularum,El Aguila,Cimitarra,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,SPECIES,138
Leptodactylus savagei,El Aguila,Cimitarra,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,SPECIES,170
Leptodeira annulata,El Aguila,Cimitarra,Animalia,Chordata,Reptilia,Squamata,Dipsadidae,SPECIES,221
Lindackeria laurina,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Achariaceae,SPECIES,158
Lithobates vaillanti,El Aguila,Cimitarra,Animalia,Chordata,Amphibia,Anura,Ranidae,SPECIES,146
Loxopholis rugiceps,El Aguila,Cimitarra,Animalia,Chordata,Reptilia,Squamata,Gymnophthalmidae,SPECIES,124
Marcgravia crenata,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Ericales,Marcgraviaceae,SPECIES,158
Marila podantha,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Calophyllaceae,SPECIES,158
Mayna grandifolia,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Achariaceae,SPECIES,158
Mayna suaveolens,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Achariaceae,SPECIES,159
Mendoncia lindavii,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,SPECIES,158
Miconia bubalina,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,SPECIES,158
Miconia dentata,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,SPECIES,158
Miconia granatensis,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,SPECIES,158
Miconia lacera,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,SPECIES,158
Miconia lateriflora,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,SPECIES,158
Miconia minutiflora,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,SPECIES,159
Miconia nervosa,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,SPECIES,158
Miconia septuplinervia,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,SPECIES,158
Nautilocalyx colombianus,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,SPECIES,158
Notopleura polyphlebia,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,SPECIES,158
Nymphaea ampla,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Nymphaeales,Nymphaeaceae,SPECIES,159
Onthophagus acuminatus,El Aguila,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,179
Onthophagus bidentatus,El Aguila,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,177
Onthophagus clypeatus,El Aguila,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,178
Onthophagus landolti,El Aguila,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,185
Onthophagus lebasi,El Aguila,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,184
Onthophagus marginicollis,El Aguila,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,115
Oryctanthus occidentalis,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Santalales,Loranthaceae,SPECIES,158
Ouratea castaneifolia,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Ochnaceae,SPECIES,158
Oxandra venezuelana,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,SPECIES,159
Palicourea acuminata,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,SPECIES,158
Palicourea deflexa,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,SPECIES,158
Palicourea guianensis,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,SPECIES,158
Palicourea subspicata,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,SPECIES,158
Palicourea tomentosa,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,SPECIES,158
Passiflora quadrangularis,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,SPECIES,158
Passovia stelis,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Santalales,Loranthaceae,SPECIES,158
Paullinia capreolata,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,SPECIES,159
Peltogyne paniculata,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,SPECIES,158
Peperomia laxiflora,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,SPECIES,159
Phanaeus pyrois,El Aguila,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,171
Picramnia antidesma,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Picramniales,Picramniaceae,SPECIES,158
Pimelodella floridablancaensis,El Aguila,Cimitarra,Animalia,Chordata,Actinopterygii,Siluriformes,Heptapteridae,SPECIES,116
Piper aduncum,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,SPECIES,158
Piper grande,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,SPECIES,159
Pittoniotis trichantha,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,SPECIES,159
Poecilia caucana,El Aguila,Cimitarra,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,SPECIES,129
Potamotrygon magdalenae,El Aguila,Cimitarra,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Potamotrygonidae,SPECIES,136
Pourouma bicolor,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,SPECIES,158
Pristimantis gaigei,El Aguila,Cimitarra,Animalia,Chordata,Amphibia,Anura,Craugastoridae,SPECIES,144
