species,locality,municipality,kingdom,phylum,class,order,family,taxonRank,elevation
Vriesea heliconioides,El Aguila,Cimitarra,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,SPECIES,158
Warszewiczia coccinea,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,SPECIES,159
Xylopia amazonica,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,SPECIES,158
Xylopia aromatica,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,SPECIES,158
Zamia incognita,El Aguila,Cimitarra,Plantae,Tracheophyta,Cycadopsida,Cycadales,Zamiaceae,SPECIES,159
Zanthoxylum rigidum,El Aguila,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Rutaceae,SPECIES,158
Adenaria floribunda,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,SPECIES,236
Aechmea angustifolia,Guineales,Cimitarra,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,SPECIES,442
Aegiphila grandis,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,SPECIES,223
Aegiphila integrifolia,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,SPECIES,452
Allobates niputidea,Guineales,Cimitarra,Animalia,Chordata,Amphibia,Anura,Aromobatidae,SPECIES,210
Amazilia amabilis,Guineales,Cimitarra,Animalia,Chordata,Aves,Apodiformes,Trochilidae,SPECIES,442
Ancistrus caucanus,Guineales,Cimitarra,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,SPECIES,197
Andinoacara latifrons,Guineales,Cimitarra,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,SPECIES,208
Aniba puchury-minor,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,SPECIES,223
Anolis auratus,Guineales,Cimitarra,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,SPECIES,261
Anolis tropidogaster,Guineales,Cimitarra,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,SPECIES,274
Apeiba glabra,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,SPECIES,442
Aphelandra chaponensis,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,SPECIES,223
Apteronotus milesi,Guineales,Cimitarra,Animalia,Chordata,Actinopterygii,Gymnotiformes,Apteronotidae,SPECIES,206
Argopleura magdalenensis,Guineales,Cimitarra,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,SPECIES,197
Astyanax fasciatus,Guineales,Cimitarra,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,SPECIES,206
Astyanax filiferus,Guineales,Cimitarra,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,SPECIES,208
Automolus ochrolaemus,Guineales,Cimitarra,Animalia,Chordata,Aves,Passeriformes,Furnariidae,SPECIES,433
Bactris brongniartii,Guineales,Cimitarra,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,SPECIES,223
Basiliscus galeritus,Guineales,Cimitarra,Animalia,Chordata,Reptilia,Squamata,Corytophanidae,SPECIES,238
Bellucia mespiloides,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,SPECIES,384
Besleria mirifica,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,SPECIES,319
Boana boans,Guineales,Cimitarra,Animalia,Chordata,Amphibia,Anura,Hylidae,SPECIES,236
Boana pugnax,Guineales,Cimitarra,Animalia,Chordata,Amphibia,Anura,Hylidae,SPECIES,208
Bothrops asper,Guineales,Cimitarra,Animalia,Chordata,Reptilia,Squamata,Viperidae,SPECIES,240
Byrsonima spicata,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Malpighiaceae,SPECIES,551
Canthon subhyalinus,Guineales,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,509
Caquetaia kraussii,Guineales,Cimitarra,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,SPECIES,202
Caryodaphnopsis burgeri,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,SPECIES,223
Casearia arborea,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,SPECIES,494
Cassipourea peruviana,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Rhizophoraceae,SPECIES,551
Cetopsorhamdia molinae,Guineales,Cimitarra,Animalia,Chordata,Actinopterygii,Siluriformes,Heptapteridae,SPECIES,197
Chalybura buffonii,Guineales,Cimitarra,Animalia,Chordata,Aves,Apodiformes,Trochilidae,SPECIES,438
Chamaedorea tepejilote,Guineales,Cimitarra,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,SPECIES,442
Ciliosemina purdieana,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,SPECIES,452
Cissus erosa,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,SPECIES,236
Clathrotropis brunnea,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,SPECIES,319
Clelia clelia,Guineales,Cimitarra,Animalia,Chordata,Reptilia,Squamata,Dipsadidae,SPECIES,243
Clidemia octona,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,SPECIES,494
Colostethus inguinalis,Guineales,Cimitarra,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,SPECIES,256
Coprophanaeus corythus,Guineales,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,506
Costus scaber,Guineales,Cimitarra,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,SPECIES,534
Costus spiralis,Guineales,Cimitarra,Plantae,Tracheophyta,Liliopsida,Zingiberales,Costaceae,SPECIES,442
Craugastor metriosistus,Guineales,Cimitarra,Animalia,Chordata,Amphibia,Anura,Craugastoridae,SPECIES,328
Creagrutus affinis,Guineales,Cimitarra,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,SPECIES,206
Creagrutus magdalenae,Guineales,Cimitarra,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,SPECIES,206
Crossoloricaria cephalaspis,Guineales,Cimitarra,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,SPECIES,197
Ctenolucius hujeta,Guineales,Cimitarra,Animalia,Chordata,Actinopterygii,Characiformes,Ctenoluciidae,SPECIES,214
Cyphocharax magdalenae,Guineales,Cimitarra,Animalia,Chordata,Actinopterygii,Characiformes,Curimatidae,SPECIES,202
Damophila julie,Guineales,Cimitarra,Animalia,Chordata,Aves,Apodiformes,Trochilidae,SPECIES,425
Dendrobates truncatus,Guineales,Cimitarra,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,SPECIES,305
Dendrocincla fuliginosa,Guineales,Cimitarra,Animalia,Chordata,Aves,Passeriformes,Furnariidae,SPECIES,450
Dendropanax arboreus,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,SPECIES,223
Dendropsophus microcephalus,Guineales,Cimitarra,Animalia,Chordata,Amphibia,Anura,Hylidae,SPECIES,208
Dichapetalum rugosum,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Dichapetalaceae,SPECIES,319
Dichotomius andresi,Guineales,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,507
Dupouyichthys sapito,Guineales,Cimitarra,Animalia,Chordata,Actinopterygii,Siluriformes,Aspredinidae,SPECIES,214
Emilia sonchifolia,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,SPECIES,236
Endlicheria gracilis,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,SPECIES,223
Engystomops pustulosus,Guineales,Cimitarra,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,SPECIES,178
Epinecrophylla fulviventris,Guineales,Cimitarra,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,SPECIES,431
Erythrolamprus melanotus,Guineales,Cimitarra,Animalia,Chordata,Reptilia,Squamata,Dipsadidae,SPECIES,216
Erythroxylum coca,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Erythroxylaceae,SPECIES,522
Eurysternus caribaeus,Guineales,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,505
Eurysternus foedus,Guineales,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,510
Eurysternus mexicanus,Guineales,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,505
Faramea capillipes,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,SPECIES,452
Gasteropelecus maculatus,Guineales,Cimitarra,Animalia,Chordata,Actinopterygii,Characiformes,Gasteropelecidae,SPECIES,197
Geonoma interrupta,Guineales,Cimitarra,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,SPECIES,223
Geophagus steindachneri,Guineales,Cimitarra,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,SPECIES,206
Gephyrocharax melanocheir,Guineales,Cimitarra,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,SPECIES,206
Glaucis hirsutus,Guineales,Cimitarra,Animalia,Chordata,Aves,Apodiformes,Trochilidae,SPECIES,425
Glyphorynchus spirurus,Guineales,Cimitarra,Animalia,Chordata,Aves,Passeriformes,Furnariidae,SPECIES,433
Gonatodes albogularis,Guineales,Cimitarra,Animalia,Chordata,Reptilia,Squamata,Sphaerodactylidae,SPECIES,185
Gonzalagunia cornifolia,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,SPECIES,213
Guettarda aromatica,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,SPECIES,236
Habia gutturalis,Guineales,Cimitarra,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,SPECIES,444
Hasseltia floribunda,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,SPECIES,442
Heliconia platystachys,Guineales,Cimitarra,Plantae,Tracheophyta,Liliopsida,Zingiberales,Heliconiaceae,SPECIES,319
Hemithraupis flavicollis,Guineales,Cimitarra,Animalia,Chordata,Aves,Passeriformes,Thraupidae,SPECIES,375
Henicorhina leucosticta,Guineales,Cimitarra,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,SPECIES,435
Henriettea fascicularis,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,SPECIES,487
Henriettea fissanthera,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,SPECIES,452
Heteropterys macrostachya,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Malpighiaceae,SPECIES,236
Hoplias malabaricus,Guineales,Cimitarra,Animalia,Chordata,Actinopterygii,Characiformes,Erythrinidae,SPECIES,197
Hoplosternum magdalenae,Guineales,Cimitarra,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,SPECIES,202
Hyalinobatrachium fleischmanni,Guineales,Cimitarra,Animalia,Chordata,Amphibia,Anura,Centrolenidae,SPECIES,294
Hypostomus hondae,Guineales,Cimitarra,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,SPECIES,206
Imantodes cenchoa,Guineales,Cimitarra,Animalia,Chordata,Reptilia,Squamata,Dipsadidae,SPECIES,299
Imparfinis usmai,Guineales,Cimitarra,Animalia,Chordata,Actinopterygii,Siluriformes,Heptapteridae,SPECIES,214
Iryanthera ulei,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Myristicaceae,SPECIES,442
Isertia laevis,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,SPECIES,494
Jacaranda hesperia,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,SPECIES,223
Lantana trifolia,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Verbenaceae,SPECIES,319
Leptodactylus insularum,Guineales,Cimitarra,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,SPECIES,218
Leptodactylus savagei,Guineales,Cimitarra,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,SPECIES,232
Leptodeira annulata,Guineales,Cimitarra,Animalia,Chordata,Reptilia,Squamata,Dipsadidae,SPECIES,229
Leptopogon amaurocephalus,Guineales,Cimitarra,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,SPECIES,432
Loxopholis rugiceps,Guineales,Cimitarra,Animalia,Chordata,Reptilia,Squamata,Gymnophthalmidae,SPECIES,199
Machaeropterus regulus,Guineales,Cimitarra,Animalia,Chordata,Aves,Passeriformes,Pipridae,SPECIES,438
Manacus manacus,Guineales,Cimitarra,Animalia,Chordata,Aves,Passeriformes,Pipridae,SPECIES,435
Mandevilla hirsuta,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,SPECIES,319
Maripa panamensis,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,SPECIES,522
Melanerpes pulcher,Guineales,Cimitarra,Animalia,Chordata,Aves,Piciformes,Picidae,SPECIES,500
Miconia atropurpurea,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,SPECIES,319
Miconia barbinervis,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,SPECIES,452
Miconia dentata,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,SPECIES,319
Miconia minutiflora,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,SPECIES,551
Miconia oinochrophylla,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,SPECIES,551
Miconia ostrina,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,SPECIES,255
Miconia septuplinervia,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,SPECIES,442
Miconia sulcicaulis,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,SPECIES,319
Microcerculus marginatus,Guineales,Cimitarra,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,SPECIES,431
Microgramma percussa,Guineales,Cimitarra,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,SPECIES,442
Mionectes oleagineus,Guineales,Cimitarra,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,SPECIES,440
Mucuna mutisiana,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,SPECIES,319
Myiarchus tuberculifer,Guineales,Cimitarra,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,SPECIES,325
Ninia atrata,Guineales,Cimitarra,Animalia,Chordata,Reptilia,Squamata,Dipsadidae,SPECIES,211
Ocotea guianensis,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,SPECIES,551
Oncostoma olivaceum,Guineales,Cimitarra,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,SPECIES,425
Onthophagus acuminatus,Guineales,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,509
Onthophagus clypeatus,Guineales,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,508
Oryctanthus alveolatus,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Santalales,Loranthaceae,SPECIES,223
Oxysternon conspicillatum,Guineales,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,514
Palicourea brachiata,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,SPECIES,223
Passiflora vitifolia,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,SPECIES,442
Peperomia macrostachyos,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,SPECIES,319
Phaethornis anthophilus,Guineales,Cimitarra,Animalia,Chordata,Aves,Apodiformes,Trochilidae,SPECIES,425
Phaethornis longirostris,Guineales,Cimitarra,Animalia,Chordata,Aves,Apodiformes,Trochilidae,SPECIES,435
Phaethornis striigularis,Guineales,Cimitarra,Animalia,Chordata,Aves,Apodiformes,Trochilidae,SPECIES,438
Phanaeus pyrois,Guineales,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,511
Pheugopedius fasciatoventris,Guineales,Cimitarra,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,SPECIES,425
Pimelodella floridablancaensis,Guineales,Cimitarra,Animalia,Chordata,Actinopterygii,Siluriformes,Heptapteridae,SPECIES,206
Piper aduncum,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,SPECIES,304
Piper grande,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,SPECIES,319
Piper marginatum,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,SPECIES,442
Piper munchanum,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,SPECIES,442
Pipra erythrocephala,Guineales,Cimitarra,Animalia,Chordata,Aves,Passeriformes,Pipridae,SPECIES,441
Pleopeltis furcata,Guineales,Cimitarra,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,SPECIES,442
Poecilia caucana,Guineales,Cimitarra,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,SPECIES,206
Porthidium lansbergii,Guineales,Cimitarra,Animalia,Chordata,Reptilia,Squamata,Viperidae,SPECIES,518
Posoqueria coriacea,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,SPECIES,551
Prochilodus magdalenae,Guineales,Cimitarra,Animalia,Chordata,Actinopterygii,Characiformes,Prochilodontidae,SPECIES,208
Pseudopaludicola pusilla,Guineales,Cimitarra,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,SPECIES,216
Pteroglossus torquatus,Guineales,Cimitarra,Animalia,Chordata,Aves,Piciformes,Ramphastidae,SPECIES,450
Renealmia alpinia,Guineales,Cimitarra,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,SPECIES,442
Rhamdia guatemalensis,Guineales,Cimitarra,Animalia,Chordata,Actinopterygii,Siluriformes,Heptapteridae,SPECIES,206
Rhinella humboldti,Guineales,Cimitarra,Animalia,Chordata,Amphibia,Anura,Bufonidae,SPECIES,196
Rhinella sternosignata,Guineales,Cimitarra,Animalia,Chordata,Amphibia,Anura,Bufonidae,SPECIES,326
Rineloricaria magdalenae,Guineales,Cimitarra,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,SPECIES,206
Rivulus xi,Guineales,Cimitarra,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,SPECIES,197
Roeboides dayi,Guineales,Cimitarra,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,SPECIES,200
Ruellia tolimensis,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,SPECIES,213
Ryania speciosa,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,SPECIES,452
Saccoderma hastata,Guineales,Cimitarra,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,SPECIES,206
Senna hayesiana,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,SPECIES,236
Siparuna grandiflora,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Laurales,Siparunaceae,SPECIES,319
Smilisca phaeota,Guineales,Cimitarra,Animalia,Chordata,Amphibia,Anura,Hylidae,SPECIES,228
Spigelia anthelmia,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Loganiaceae,SPECIES,319
Sporophila funerea,Guineales,Cimitarra,Animalia,Chordata,Aves,Passeriformes,Thraupidae,SPECIES,450
Sternopygus aequilabiatus,Guineales,Cimitarra,Animalia,Chordata,Actinopterygii,Gymnotiformes,Sternopygidae,SPECIES,206
Sturisomatichthys leightoni,Guineales,Cimitarra,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,SPECIES,206
Stylogyne turbacensis,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,SPECIES,332
Sulcophanaeus noctis,Guineales,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,515
Swartzia simplex,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,SPECIES,223
Sylvicanthon aequinoctialis,Guineales,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,508
Synbranchus marmoratus,Guineales,Cimitarra,Animalia,Chordata,Actinopterygii,Synbranchiformes,Synbranchidae,SPECIES,214
Tabernaemontana grandiflora,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,SPECIES,271
Talisia guianensis,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,SPECIES,444
Tapirira guianensis,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,SPECIES,319
Tectaria incisa,Guineales,Cimitarra,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Tectariaceae,SPECIES,442
Thecadactylus rapicauda,Guineales,Cimitarra,Animalia,Chordata,Reptilia,Squamata,Phyllodactylidae,SPECIES,245
Threnetes ruckeri,Guineales,Cimitarra,Animalia,Chordata,Aves,Apodiformes,Trochilidae,SPECIES,450
Tilesia baccata,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,SPECIES,442
Trichilia poeppigii,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,SPECIES,223
Trichillidium pilosum,Guineales,Cimitarra,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,SPECIES,504
Trichomycterus transandianus,Guineales,Cimitarra,Animalia,Chordata,Actinopterygii,Siluriformes,Trichomycteridae,SPECIES,330
Trigonia laevis,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Trigoniaceae,SPECIES,452
Trilepida macrolepis,Guineales,Cimitarra,Animalia,Chordata,Reptilia,Squamata,Leptotyphlopidae,SPECIES,348
Vismia baccifera,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Hypericaceae,SPECIES,384
Voyria truncata,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Gentianaceae,SPECIES,534
Xenops minutus,Guineales,Cimitarra,Animalia,Chordata,Aves,Passeriformes,Furnariidae,SPECIES,450
Xiphidium caeruleum,Guineales,Cimitarra,Plantae,Tracheophyta,Liliopsida,Commelinales,Haemodoraceae,SPECIES,442
Zanthoxylum lenticulare,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Rutaceae,SPECIES,236
Zygia codonocalyx,Guineales,Cimitarra,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,SPECIES,442
Aciotis acuminifolia,La Belleza,El Carmen de Chucuri,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,SPECIES,750
Aciotis purpurascens,La Belleza,El Carmen de Chucuri,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,SPECIES,795
Adelobotrys adscendens,La Belleza,El Carmen de Chucuri,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,SPECIES,812
Aechmea tillandsioides,La Belleza,El Carmen de Chucuri,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,SPECIES,638
Aerenea impetiginosa,La Belleza,El Carmen de Chucuri,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,SPECIES,801
Alchornea grandiflora,La Belleza,El Carmen de Chucuri,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,SPECIES,800
Allomaieta zenufanasana,La Belleza,El Carmen de Chucuri,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,SPECIES,868
Allomarkgrafia plumeriiflora,La Belleza,El Carmen de Chucuri,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,SPECIES,710
Allophylus excelsus,La Belleza,El Carmen de Chucuri,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,SPECIES,840
Amazilia amabilis,La Belleza,El Carmen de Chucuri,Animalia,Chordata,Aves,Apodiformes,Trochilidae,SPECIES,828
Amazilia tzacatl,La Belleza,El Carmen de Chucuri,Animalia,Chordata,Aves,Apodiformes,Trochilidae,SPECIES,942
Ancistrus caucanus,La Belleza,El Carmen de Chucuri,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,SPECIES,701
Anetanthus gracilis,La Belleza,El Carmen de Chucuri,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,SPECIES,615
Anolis granuliceps,La Belleza,El Carmen de Chucuri,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,SPECIES,1011
Aphelandra chaponensis,La Belleza,El Carmen de Chucuri,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,SPECIES,794
Aphelandra straminea,La Belleza,El Carmen de Chucuri,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,SPECIES,837
Arawakia weddelliana,La Belleza,El Carmen de Chucuri,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Clusiaceae,SPECIES,813
Arremon aurantiirostris,La Belleza,El Carmen de Chucuri,Animalia,Chordata,Aves,Passeriformes,Emberizidae,SPECIES,856
Aspidolea singularis,La Belleza,El Carmen de Chucuri,Animalia,Arthropoda,Insecta,Coleoptera,Dynastidae,SPECIES,806
Astroblepus curitiensis,La Belleza,El Carmen de Chucuri,Animalia,Chordata,Actinopterygii,Siluriformes,Astroblepidae,SPECIES,773
Astroblepus verai,La Belleza,El Carmen de Chucuri,Animalia,Chordata,Actinopterygii,Siluriformes,Astroblepidae,SPECIES,695
Automolus ochrolaemus,La Belleza,El Carmen de Chucuri,Animalia,Chordata,Aves,Passeriformes,Furnariidae,SPECIES,885
Automolus rubiginosus,La Belleza,El Carmen de Chucuri,Animalia,Chordata,Aves,Passeriformes,Furnariidae,SUBSPECIES,942
Ayapana haughtii,La Belleza,El Carmen de Chucuri,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,SPECIES,750
Bachia bicolor,La Belleza,El Carmen de Chucuri,Animalia,Chordata,Reptilia,Squamata,Gymnophthalmidae,SPECIES,777
Bauhinia picta,La Belleza,El Carmen de Chucuri,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,SPECIES,710
